#=====================================================
# File created:        Mon-06-Nov-2023-at-03-17-06PM
# Size of lattice:     60x60
# Number of MC steps:  1000
# Reduced temperature: 0.600
# Run time (s):        16.138014
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3626.3122  0.2659 
   00001    0.6758   -5477.4207  0.2645 
   00002    0.6142   -6467.2922  0.2558 
   00003    0.5808   -7231.4420  0.2608 
   00004    0.5439   -7770.4009  0.2605 
   00005    0.5267   -8195.9636  0.2569 
   00006    0.5186   -8603.9845  0.2608 
   00007    0.4983   -8972.9123  0.2714 
   00008    0.4775   -9170.1185  0.2710 
   00009    0.4817   -9334.1555  0.2686 
   00010    0.4647   -9520.2670  0.2684 
   00011    0.4694   -9604.5016  0.2729 
   00012    0.4622   -9734.9982  0.2664 
   00013    0.4644   -9892.2318  0.2731 
   00014    0.4481   -9982.8222  0.2714 
   00015    0.4550  -10152.3790  0.2748 
   00016    0.4547  -10244.4106  0.2843 
   00017    0.4589  -10241.9217  0.2882 
   00018    0.4317  -10276.9367  0.2802 
   00019    0.4411  -10370.4418  0.2806 
   00020    0.4617  -10416.0624  0.2766 
   00021    0.4525  -10527.1716  0.2823 
   00022    0.4583  -10547.7863  0.2792 
   00023    0.4281  -10567.5806  0.2743 
   00024    0.4522  -10598.3490  0.2676 
   00025    0.4403  -10662.1877  0.2639 
   00026    0.4306  -10627.3684  0.2659 
   00027    0.4414  -10646.7297  0.2600 
   00028    0.4253  -10775.5192  0.2560 
   00029    0.4275  -10770.6839  0.2509 
   00030    0.4203  -10795.2918  0.2546 
   00031    0.4272  -10829.8803  0.2621 
   00032    0.4211  -10859.5207  0.2648 
   00033    0.4194  -10877.4414  0.2582 
   00034    0.4333  -10898.5259  0.2562 
   00035    0.4314  -10911.7119  0.2596 
   00036    0.4319  -10975.5785  0.2557 
   00037    0.4350  -10986.6509  0.2569 
   00038    0.4269  -10938.3431  0.2539 
   00039    0.4286  -11005.7724  0.2579 
   00040    0.4192  -10988.3369  0.2610 
   00041    0.4353  -10986.9987  0.2646 
   00042    0.4106  -10957.2525  0.2704 
   00043    0.4189  -10963.6170  0.2739 
   00044    0.4297  -10959.1198  0.2777 
   00045    0.4183  -10954.8792  0.2770 
   00046    0.4297  -11052.7787  0.2782 
   00047    0.4350  -11009.7438  0.2804 
   00048    0.4133  -11020.3827  0.2843 
   00049    0.4381  -11075.2910  0.2835 
   00050    0.4333  -11090.0091  0.2853 
   00051    0.4175  -11093.4666  0.2860 
   00052    0.4161  -11138.7238  0.2861 
   00053    0.4069  -11145.0923  0.2899 
   00054    0.4272  -11162.7300  0.2884 
   00055    0.4158  -11206.5892  0.2908 
   00056    0.4089  -11114.5229  0.2970 
   00057    0.4200  -11103.3362  0.2945 
   00058    0.4186  -11129.3467  0.3008 
   00059    0.4203  -11155.9437  0.3001 
   00060    0.4244  -11094.0678  0.3047 
   00061    0.4142  -11191.1212  0.3059 
   00062    0.4056  -11188.6139  0.3103 
   00063    0.4253  -11193.3332  0.3099 
   00064    0.4214  -11172.5534  0.3090 
   00065    0.4197  -11176.6840  0.3039 
   00066    0.4147  -11181.3606  0.3042 
   00067    0.4356  -11275.6699  0.2983 
   00068    0.4147  -11234.7223  0.3048 
   00069    0.4228  -11263.6089  0.3124 
   00070    0.4111  -11218.3604  0.3134 
   00071    0.4147  -11196.0213  0.3167 
   00072    0.4025  -11153.5848  0.3197 
   00073    0.4164  -11133.5576  0.3203 
   00074    0.4275  -11188.4044  0.3217 
   00075    0.4253  -11257.0392  0.3233 
   00076    0.4186  -11239.7841  0.3206 
   00077    0.4208  -11291.8187  0.3269 
   00078    0.4253  -11279.9917  0.3223 
   00079    0.4089  -11286.7681  0.3318 
   00080    0.4131  -11298.0103  0.3287 
   00081    0.4142  -11367.9654  0.3294 
   00082    0.4139  -11363.8603  0.3286 
   00083    0.4036  -11358.7735  0.3317 
   00084    0.4106  -11290.0946  0.3279 
   00085    0.4231  -11319.2433  0.3321 
   00086    0.4219  -11316.6682  0.3389 
   00087    0.4172  -11300.7369  0.3302 
   00088    0.4081  -11298.8852  0.3277 
   00089    0.4114  -11359.3225  0.3274 
   00090    0.4067  -11429.8205  0.3284 
