#=====================================================
# File created:        Mon-06-Nov-2023-at-03-19-16PM
# Size of lattice:     60x60
# Number of MC steps:  1000
# Reduced temperature: 1.600
# Run time (s):        19.742759
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3752.2383  0.2623 
   00001    0.7536   -5020.4292  0.2591 
   00002    0.7222   -5532.4667  0.2549 
   00003    0.6964   -5988.1076  0.2542 
   00004    0.6714   -6207.2583  0.2709 
   00005    0.6711   -6274.3280  0.2836 
   00006    0.6589   -6327.2003  0.2744 
   00007    0.6650   -6251.7192  0.2688 
   00008    0.6658   -6340.7538  0.2792 
   00009    0.6631   -6403.3698  0.2741 
   00010    0.6489   -6458.1601  0.2847 
   00011    0.6422   -6446.7382  0.2973 
   00012    0.6461   -6240.4026  0.2894 
   00013    0.6642   -6250.8929  0.2990 
   00014    0.6578   -6419.8840  0.3005 
   00015    0.6756   -6271.0297  0.2939 
   00016    0.6697   -6366.9920  0.2960 
   00017    0.6603   -6435.6179  0.2922 
   00018    0.6731   -6471.0415  0.3046 
   00019    0.6400   -6517.6433  0.3029 
   00020    0.6500   -6562.3350  0.2882 
   00021    0.6644   -6464.6685  0.2951 
   00022    0.6536   -6309.2406  0.2971 
   00023    0.6603   -6349.6654  0.2793 
   00024    0.6667   -6271.7514  0.2649 
   00025    0.6719   -6279.2362  0.2584 
   00026    0.6656   -6431.1276  0.2658 
   00027    0.6492   -6338.7183  0.2793 
   00028    0.6550   -6327.7368  0.2717 
   00029    0.6681   -6156.8183  0.2725 
   00030    0.6703   -6222.5328  0.2625 
   00031    0.6639   -6414.1756  0.2713 
   00032    0.6578   -6483.0557  0.2738 
   00033    0.6644   -6209.9310  0.2727 
   00034    0.6539   -6330.5790  0.2756 
   00035    0.6642   -6276.7805  0.2737 
   00036    0.6525   -6356.5840  0.2656 
   00037    0.6511   -6317.2060  0.2641 
   00038    0.6572   -6314.0059  0.2706 
   00039    0.6681   -6404.1484  0.2756 
   00040    0.6756   -6292.4018  0.2823 
   00041    0.6622   -6305.3303  0.2792 
   00042    0.6672   -6292.9701  0.2792 
   00043    0.6594   -6227.0908  0.2841 
   00044    0.6686   -6289.2776  0.2725 
   00045    0.6761   -6423.4062  0.2675 
   00046    0.6658   -6402.7732  0.2755 
   00047    0.6653   -6349.1712  0.2792 
   00048    0.6472   -6230.9131  0.2810 
   00049    0.6572   -6357.4952  0.2736 
   00050    0.6653   -6222.8513  0.2664 
   00051    0.6581   -6302.0742  0.2753 
   00052    0.6564   -6473.2011  0.2840 
   00053    0.6533   -6499.7134  0.2863 
   00054    0.6678   -6369.1541  0.2743 
   00055    0.6642   -6386.1667  0.2822 
   00056    0.6597   -6343.5665  0.2683 
