#=====================================================
# File created:        Tue-07-Nov-2023-at-11-57-36AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.600
# Run time (s):        12.105183
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -399.7811  0.2808 
   00001    0.7350    -553.9643  0.2737 
   00002    0.7175    -638.3514  0.2676 
   00003    0.6575    -676.2207  0.3019 
   00004    0.6525    -674.8488  0.2768 
   00005    0.6850    -702.6889  0.2740 
   00006    0.6250    -736.3387  0.3058 
   00007    0.6250    -751.0601  0.2893 
   00008    0.6900    -681.4291  0.2934 
   00009    0.6125    -747.5685  0.2951 
   00010    0.6350    -796.3543  0.3137 
   00011    0.6325    -789.9066  0.3139 
   00012    0.6375    -759.3310  0.3361 
   00013    0.5900    -764.2917  0.3204 
   00014    0.6200    -716.9200  0.3467 
   00015    0.6475    -734.0316  0.3403 
   00016    0.6350    -668.9930  0.3320 
   00017    0.6375    -680.0278  0.2940 
   00018    0.6500    -682.4257  0.3405 
   00019    0.7225    -728.4805  0.3365 
   00020    0.7000    -696.1090  0.3414 
   00021    0.6475    -649.6901  0.3383 
   00022    0.6925    -729.6383  0.3716 
   00023    0.5950    -741.8498  0.3770 
   00024    0.6975    -731.0910  0.3550 
   00025    0.6250    -685.3358  0.3343 
   00026    0.7200    -688.1976  0.3064 
   00027    0.6750    -688.6437  0.3044 
   00028    0.6725    -664.0009  0.2753 
   00029    0.7000    -670.6971  0.2642 
   00030    0.6525    -710.7216  0.2975 
   00031    0.6425    -686.8508  0.2978 
   00032    0.6500    -698.6031  0.3145 
   00033    0.6700    -720.5024  0.3528 
   00034    0.6300    -710.2983  0.3667 
   00035    0.6450    -745.2806  0.3577 
   00036    0.6175    -743.7486  0.3361 
   00037    0.6150    -743.3990  0.3603 
   00038    0.6200    -755.8058  0.3498 
   00039    0.6625    -773.8221  0.3264 
   00040    0.5575    -804.9332  0.3202 
   00041    0.5975    -765.3060  0.3455 
   00042    0.6425    -733.4620  0.2942 
   00043    0.6800    -765.2647  0.3226 
   00044    0.6425    -732.8641  0.3375 
   00045    0.6200    -697.7805  0.3322 
   00046    0.6600    -719.9303  0.3188 
   00047    0.6550    -699.6023  0.3158 
   00048    0.6450    -705.8834  0.3235 
   00049    0.6925    -702.4237  0.2803 
   00050    0.6850    -708.7412  0.2974 
   00051    0.6075    -759.2139  0.2769 
   00052    0.6575    -746.6450  0.2766 
   00053    0.6075    -722.4090  0.2642 
   00054    0.6325    -770.8778  0.2922 
   00055    0.6500    -737.1020  0.3205 
   00056    0.6700    -724.9408  0.3269 
   00057    0.6400    -703.4663  0.3073 
   00058    0.6275    -718.1493  0.2938 
   00059    0.6525    -679.7469  0.2761 
   00060    0.6625    -702.6595  0.3035 
   00061    0.6450    -762.9783  0.2893 
   00062    0.6175    -773.4376  0.2928 
   00063    0.6350    -724.0441  0.3049 
   00064    0.6450    -734.4803  0.3117 
   00065    0.6600    -742.1031  0.3201 
   00066    0.6125    -717.8128  0.3065 
   00067    0.6525    -685.0392  0.3241 
   00068    0.6600    -711.8123  0.3020 
   00069    0.6350    -718.6147  0.3374 
   00070    0.6725    -710.0657  0.3157 
   00071    0.6775    -657.6878  0.2932 
   00072    0.6425    -662.9702  0.3019 
   00073    0.6700    -672.1328  0.2771 
   00074    0.6750    -672.0001  0.3025 
   00075    0.6525    -693.3312  0.3172 
   00076    0.6425    -695.2322  0.3192 
   00077    0.6500    -746.6744  0.3282 
   00078    0.6825    -660.4888  0.3205 
   00079    0.6875    -682.0999  0.2920 
   00080    0.7050    -660.5478  0.2931 
   00081    0.6600    -682.7827  0.2905 
   00082    0.6750    -674.6510  0.2896 
   00083    0.6700    -672.8197  0.3194 
   00084    0.7075    -614.8474  0.3112 
   00085    0.6825    -629.3377  0.3519 
   00086    0.6925    -622.3367  0.3078 
   00087    0.7225    -637.3947  0.3048 
   00088    0.7225    -668.8693  0.3519 
   00089    0.7025    -617.7667  0.3439 
   00090    0.6950    -607.9134  0.3506 
   00091    0.7400    -622.9525  0.3245 
   00092    0.6725    -637.9670  0.2777 
   00093    0.7075    -635.0033  0.2799 
   00094    0.7125    -660.6308  0.3055 
   00095    0.6625    -679.1699  0.2543 
   00096    0.7050    -688.5042  0.2960 
   00097    0.6900    -672.1042  0.2602 
   00098    0.6200    -703.9763  0.3000 
   00099    0.6375    -743.3038  0.3001 
   00100    0.6500    -685.1776  0.2651 
   00101    0.6525    -686.2261  0.2768 
   00102    0.6800    -689.8735  0.3184 
   00103    0.7225    -674.5535  0.3340 
   00104    0.6400    -723.0740  0.3535 
   00105    0.6225    -686.1356  0.3181 
   00106    0.6650    -701.8146  0.2760 
   00107    0.6575    -760.6008  0.2809 
   00108    0.6775    -741.4336  0.2826 
   00109    0.6875    -705.0092  0.3187 
   00110    0.6400    -725.8311  0.3183 
   00111    0.6250    -753.1455  0.3627 
   00112    0.6350    -741.7855  0.3568 
   00113    0.6500    -754.3774  0.3863 
   00114    0.6700    -699.3962  0.4081 
   00115    0.6875    -666.1347  0.3878 
   00116    0.6950    -656.0827  0.3646 
   00117    0.6725    -725.5709  0.3472 
   00118    0.6550    -775.8539  0.3534 
   00119    0.6525    -763.0286  0.3152 
   00120    0.6725    -748.6455  0.2980 
   00121    0.6550    -687.5528  0.2876 
   00122    0.6750    -716.5878  0.3248 
   00123    0.6325    -685.0790  0.3021 
   00124    0.6450    -680.0527  0.2953 
   00125    0.7175    -719.6875  0.2925 
   00126    0.6700    -657.7986  0.3044 
   00127    0.6625    -682.9431  0.2837 
   00128    0.6800    -695.8847  0.2568 
   00129    0.6825    -727.2238  0.2928 
   00130    0.6425    -716.7478  0.3274 
   00131    0.5975    -691.2225  0.3433 
   00132    0.6950    -690.7208  0.3551 
   00133    0.6625    -664.0967  0.3491 
   00134    0.7025    -652.5087  0.3176 
   00135    0.6800    -635.2154  0.3220 
   00136    0.6575    -699.2523  0.3070 
   00137    0.7050    -694.2044  0.3077 
   00138    0.6600    -746.7567  0.2731 
   00139    0.6200    -762.4614  0.2648 
   00140    0.5925    -760.3912  0.3038 
   00141    0.6925    -725.8451  0.2934 
   00142    0.6175    -705.3384  0.2907 
   00143    0.6325    -695.6025  0.2799 
   00144    0.6575    -661.0316  0.2735 
   00145    0.6700    -710.1759  0.3384 
   00146    0.6725    -660.0204  0.3267 
   00147    0.6850    -668.7312  0.3481 
   00148    0.6375    -705.6408  0.3336 
   00149    0.6525    -656.3992  0.3374 
   00150    0.7225    -694.8258  0.3110 
   00151    0.6325    -705.9617  0.3413 
   00152    0.6425    -739.8169  0.3246 
   00153    0.6825    -738.5947  0.2867 
   00154    0.6325    -705.0322  0.2545 
   00155    0.6800    -729.3684  0.2798 
   00156    0.6675    -686.3339  0.2674 
   00157    0.6575    -699.0550  0.2717 
   00158    0.6700    -700.7987  0.2611 
   00159    0.6900    -708.2519  0.2649 
   00160    0.6550    -748.7666  0.2700 
   00161    0.6600    -751.7405  0.2660 
   00162    0.6175    -705.4569  0.3024 
   00163    0.6875    -735.0369  0.3253 
   00164    0.6500    -724.3729  0.2783 
   00165    0.6600    -706.8588  0.2698 
   00166    0.6825    -647.3883  0.3274 
   00167    0.6600    -731.8788  0.3121 
   00168    0.6500    -744.7088  0.2820 
   00169    0.6200    -728.3758  0.2991 
   00170    0.6950    -693.4033  0.3038 
   00171    0.6475    -645.5491  0.3105 
   00172    0.6900    -712.5699  0.2954 
   00173    0.6525    -764.6122  0.2904 
   00174    0.6575    -758.8640  0.2972 
   00175    0.6650    -730.1656  0.2912 
   00176    0.6475    -751.4195  0.2656 
   00177    0.6250    -715.0141  0.2819 
   00178    0.6550    -729.7191  0.3097 
   00179    0.6800    -687.8750  0.3324 
   00180    0.6800    -684.3934  0.3134 
   00181    0.6750    -706.3719  0.3376 
   00182    0.6775    -717.2492  0.3188 
   00183    0.6350    -721.2662  0.3026 
   00184    0.6075    -672.5644  0.3046 
   00185    0.6875    -664.2542  0.3041 
   00186    0.6025    -740.6766  0.2774 
   00187    0.6800    -747.9874  0.2674 
   00188    0.6150    -824.6778  0.2683 
   00189    0.5725    -773.9726  0.2820 
   00190    0.6250    -772.8597  0.3084 
   00191    0.6175    -772.3118  0.3121 
   00192    0.6600    -728.9049  0.2878 
   00193    0.6625    -662.6555  0.3239 
   00194    0.6775    -663.4585  0.2915 
   00195    0.6950    -698.8731  0.3012 
   00196    0.6750    -740.2937  0.3579 
   00197    0.6550    -698.8077  0.2781 
   00198    0.6275    -692.0062  0.2756 
   00199    0.6525    -693.6009  0.3134 
