#=====================================================
# File created:        Thu-02-Nov-2023-at-04-46-53PM
# Size of lattice:     40x40
# Number of MC steps:  10
# Reduced temperature: 2.000
# Run time (s):        0.469351
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1609.2149  0.2738 
   00001    0.7731   -2202.2890  0.2894 
   00002    0.7275   -2490.2667  0.2794 
   00003    0.7388   -2510.9488  0.2871 
   00004    0.7238   -2579.4957  0.2760 
   00005    0.7212   -2530.0651  0.2751 
   00006    0.7469   -2470.2587  0.2710 
   00007    0.7262   -2468.6970  0.2660 
   00008    0.7219   -2483.5052  0.2849 
   00009    0.7369   -2521.5306  0.3083 
   00010    0.7256   -2603.4592  0.3112 
