#=====================================================
# File created:        Mon-06-Nov-2023-at-03-14-56PM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 1.200
# Run time (s):        6.856823
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1582.3097  0.2627 
   00001    0.6937   -2422.5649  0.2582 
   00002    0.6569   -2866.1054  0.2755 
   00003    0.6194   -2928.6709  0.2642 
   00004    0.6144   -3015.4336  0.2572 
   00005    0.5856   -3107.2537  0.2609 
   00006    0.5944   -3183.2565  0.2745 
   00007    0.5881   -3166.1915  0.2817 
   00008    0.5919   -3238.8835  0.2713 
   00009    0.5669   -3212.6894  0.2699 
   00010    0.5769   -3177.0487  0.2785 
   00011    0.5731   -3257.6897  0.2922 
   00012    0.5687   -3187.3788  0.2800 
   00013    0.5713   -3325.3730  0.2846 
   00014    0.5787   -3359.2972  0.2818 
   00015    0.5413   -3357.1119  0.2782 
   00016    0.5575   -3346.5210  0.2659 
   00017    0.5644   -3256.5939  0.2527 
   00018    0.5694   -3352.7448  0.2770 
   00019    0.5481   -3355.4903  0.2954 
   00020    0.5569   -3393.4669  0.2791 
   00021    0.5500   -3337.9094  0.2634 
   00022    0.5663   -3330.6805  0.2632 
   00023    0.5413   -3355.1822  0.2749 
   00024    0.5631   -3405.1487  0.2838 
   00025    0.5713   -3331.5342  0.2867 
   00026    0.5369   -3379.0606  0.2974 
   00027    0.5469   -3376.8742  0.3140 
   00028    0.5513   -3425.5441  0.3068 
   00029    0.5494   -3398.9082  0.3022 
   00030    0.5494   -3346.7279  0.3083 
   00031    0.5469   -3368.1147  0.3011 
   00032    0.5569   -3292.1795  0.3122 
   00033    0.5569   -3220.0222  0.2811 
   00034    0.5637   -3263.4334  0.2895 
   00035    0.5787   -3218.0365  0.2909 
   00036    0.5725   -3220.3016  0.2875 
   00037    0.5706   -3203.8298  0.2747 
   00038    0.5713   -3207.7586  0.2808 
   00039    0.5700   -3199.1701  0.2551 
   00040    0.5650   -3324.3375  0.2563 
   00041    0.5631   -3291.6279  0.2699 
   00042    0.5613   -3179.5570  0.2698 
   00043    0.5669   -3217.9595  0.2812 
   00044    0.5431   -3343.7208  0.2948 
   00045    0.5563   -3316.1706  0.3234 
   00046    0.5475   -3210.5054  0.3388 
   00047    0.5563   -3241.2285  0.3190 
   00048    0.5563   -3275.1513  0.3050 
   00049    0.5569   -3320.2804  0.3219 
   00050    0.5456   -3368.0456  0.3454 
