#=====================================================
# File created:        Mon-06-Nov-2023-at-12-15-20PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.000
# Run time (s):        2.116685
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -405.1605  0.3064 
   00001    0.7175    -549.6133  0.2868 
   00002    0.6400    -675.6323  0.2668 
   00003    0.6050    -765.7972  0.2666 
   00004    0.5750    -812.5122  0.2801 
   00005    0.5625    -820.6359  0.3081 
   00006    0.5500    -840.8588  0.2998 
   00007    0.5100    -840.6956  0.2818 
   00008    0.5075    -870.0297  0.2788 
   00009    0.5525    -908.9724  0.2932 
   00010    0.5100    -917.0014  0.3030 
   00011    0.4850    -875.0582  0.3312 
   00012    0.5375    -835.9064  0.3044 
   00013    0.5525    -868.6940  0.3295 
   00014    0.5750    -888.6073  0.3413 
   00015    0.5000    -912.7490  0.3357 
   00016    0.4975    -930.5128  0.3380 
   00017    0.4400    -922.1469  0.3439 
   00018    0.4900    -922.6894  0.3244 
   00019    0.4775    -934.9168  0.3040 
   00020    0.4800    -934.4647  0.3158 
   00021    0.5050    -945.1219  0.3092 
   00022    0.4625    -910.3166  0.3747 
   00023    0.5175    -914.1646  0.3911 
   00024    0.4850    -943.6087  0.3995 
   00025    0.5000    -959.0165  0.3945 
   00026    0.4625    -950.0330  0.4044 
   00027    0.5300    -945.7389  0.3851 
   00028    0.4900    -971.1080  0.3995 
   00029    0.4775    -932.1524  0.3683 
   00030    0.5000    -951.3291  0.3953 
   00031    0.4825    -937.4225  0.4327 
   00032    0.5275    -887.1515  0.3981 
   00033    0.4525    -953.2167  0.3958 
   00034    0.4675    -944.3287  0.3859 
   00035    0.4950    -945.6501  0.4135 
   00036    0.4800    -954.7170  0.4185 
   00037    0.5075    -970.5893  0.4314 
   00038    0.4650    -977.0632  0.4151 
   00039    0.4350    -951.4783  0.4350 
   00040    0.4625    -941.1711  0.3912 
   00041    0.4950    -934.8344  0.4027 
   00042    0.4825    -954.6130  0.3884 
   00043    0.4925    -939.1058  0.4089 
   00044    0.4900    -949.0735  0.4130 
   00045    0.4800    -977.9367  0.4080 
   00046    0.5150    -957.1770  0.4006 
   00047    0.4525    -980.5171  0.3974 
   00048    0.4925    -998.3783  0.4296 
   00049    0.4550    -975.9480  0.4488 
   00050    0.4975    -928.7032  0.4281 
   00051    0.4975    -959.2105  0.4112 
   00052    0.4725   -1016.4668  0.4277 
   00053    0.5200    -995.6516  0.4214 
   00054    0.4650   -1008.0596  0.4187 
   00055    0.4625    -981.9182  0.4197 
   00056    0.5275    -952.6052  0.4320 
   00057    0.4900   -1003.9330  0.4371 
   00058    0.4725   -1027.8483  0.4056 
   00059    0.4700   -1003.6505  0.4121 
   00060    0.4775    -968.4828  0.3799 
   00061    0.5000    -976.2273  0.3744 
   00062    0.4975    -978.0482  0.3717 
   00063    0.4775    -979.0588  0.3871 
   00064    0.5000    -981.9680  0.3572 
   00065    0.4625    -955.6237  0.3690 
   00066    0.4750    -948.5332  0.3859 
   00067    0.5125    -961.1017  0.4081 
   00068    0.4650    -947.6680  0.4088 
   00069    0.4400    -963.9283  0.3870 
   00070    0.4350    -956.2177  0.3671 
   00071    0.5125    -966.4034  0.3631 
   00072    0.5325    -961.0313  0.3784 
   00073    0.5175    -916.8354  0.3844 
   00074    0.4950    -931.8805  0.4099 
   00075    0.5025    -911.8001  0.4341 
   00076    0.5275    -908.1448  0.4110 
   00077    0.5075    -913.8761  0.3888 
   00078    0.4725    -958.2727  0.3848 
   00079    0.4825   -1007.5993  0.3802 
   00080    0.4350   -1016.5071  0.3534 
   00081    0.4925    -972.2759  0.3609 
   00082    0.4750    -969.3787  0.3689 
   00083    0.4650    -994.0699  0.3669 
   00084    0.4900    -966.0378  0.3839 
   00085    0.4825    -961.0840  0.3778 
   00086    0.4325    -966.8735  0.3622 
   00087    0.5150    -928.8797  0.3326 
   00088    0.4650    -948.1748  0.3352 
   00089    0.5125    -934.5588  0.3513 
   00090    0.4875    -946.2315  0.3203 
   00091    0.5025    -930.8612  0.3078 
   00092    0.5200    -934.2393  0.2802 
   00093    0.5350    -924.1629  0.3084 
   00094    0.4900    -871.7948  0.3443 
   00095    0.5100    -885.9316  0.3081 
   00096    0.5600    -865.4294  0.2954 
   00097    0.5375    -840.5785  0.3134 
   00098    0.5625    -844.5014  0.3138 
   00099    0.5275    -896.6766  0.3073 
   00100    0.5275    -896.7825  0.2725 
   00101    0.5200    -929.0820  0.2922 
   00102    0.4900    -932.7408  0.2862 
   00103    0.5375    -906.8385  0.3039 
   00104    0.5050    -893.1601  0.2749 
   00105    0.5300    -912.3146  0.2730 
   00106    0.5125    -914.3627  0.2948 
   00107    0.5325    -898.4250  0.3087 
   00108    0.5225    -964.9028  0.2968 
   00109    0.5050    -956.3040  0.3047 
   00110    0.5025    -966.8402  0.3005 
   00111    0.4975    -978.8403  0.3420 
   00112    0.5050    -956.2716  0.3395 
   00113    0.5425    -925.4780  0.3429 
   00114    0.4575    -939.9409  0.3697 
   00115    0.5225    -920.4350  0.3402 
   00116    0.4800    -965.0548  0.3337 
   00117    0.4775    -938.5245  0.3118 
   00118    0.4775    -944.7864  0.3074 
   00119    0.4700    -925.3069  0.2912 
   00120    0.5650    -885.6727  0.2963 
   00121    0.4950    -911.3994  0.2958 
   00122    0.4650    -902.6972  0.3253 
   00123    0.4850    -936.8787  0.3357 
   00124    0.5025    -872.9276  0.3237 
   00125    0.5475    -913.2040  0.3228 
   00126    0.4800    -935.8504  0.3496 
   00127    0.5075    -945.3905  0.3205 
   00128    0.4775    -941.2671  0.2828 
   00129    0.4925    -945.9864  0.2751 
   00130    0.5275    -908.3644  0.2807 
   00131    0.4950    -930.2502  0.2690 
   00132    0.5025    -897.4001  0.2694 
