#=====================================================
# File created:        Thu-02-Nov-2023-at-05-07-34PM
# Size of lattice:     80x80
# Number of MC steps:  10
# Reduced temperature: 0.600
# Run time (s):        1.738946
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6677.1430  0.2586 
   00001    0.6750   -9798.3280  0.2512 
   00002    0.6145  -11608.2049  0.2620 
   00003    0.5778  -12968.4107  0.2653 
   00004    0.5455  -13960.4920  0.2663 
   00005    0.5245  -14705.1855  0.2714 
   00006    0.5100  -15300.9254  0.2723 
   00007    0.5012  -15842.3771  0.2787 
   00008    0.4964  -16331.9885  0.2835 
   00009    0.4805  -16630.2373  0.2835 
   00010    0.4705  -17014.5115  0.2865 
