#=====================================================
# File created:        Mon-06-Nov-2023-at-02-27-03PM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 0.400
# Run time (s):        31.006517
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1592.2594  0.2707 
   00001    0.6887   -2362.0387  0.2688 
   00002    0.6481   -2847.7479  0.2713 
   00003    0.5837   -3240.6191  0.2749 
   00004    0.5750   -3538.0230  0.2667 
   00005    0.5537   -3764.3479  0.2581 
   00006    0.5413   -3949.3363  0.2678 
   00007    0.5238   -4147.7726  0.2652 
   00008    0.5025   -4271.7470  0.2707 
   00009    0.5069   -4397.9295  0.2643 
   00010    0.4969   -4446.0448  0.2663 
   00011    0.4988   -4540.3326  0.2639 
   00012    0.4606   -4567.4775  0.2618 
   00013    0.5175   -4657.9565  0.2610 
   00014    0.4750   -4753.2504  0.2545 
   00015    0.4450   -4839.2231  0.2559 
   00016    0.4744   -4870.9592  0.2588 
   00017    0.4769   -4898.6967  0.2615 
   00018    0.4800   -4945.0869  0.2641 
   00019    0.4631   -4970.6583  0.2593 
   00020    0.4675   -5006.8374  0.2553 
   00021    0.4763   -5025.2585  0.2574 
   00022    0.4575   -5079.6536  0.2614 
   00023    0.4644   -5091.5643  0.2537 
   00024    0.4625   -5093.6848  0.2552 
   00025    0.4400   -5120.2742  0.2560 
   00026    0.4637   -5134.9703  0.2593 
   00027    0.4556   -5119.3089  0.2573 
   00028    0.4506   -5142.4115  0.2589 
   00029    0.4631   -5158.3036  0.2700 
   00030    0.4313   -5187.5440  0.2722 
   00031    0.4569   -5228.9722  0.2654 
   00032    0.4100   -5223.4743  0.2650 
   00033    0.4531   -5251.5753  0.2696 
   00034    0.4556   -5236.8937  0.2670 
   00035    0.4681   -5232.3614  0.2698 
   00036    0.4425   -5229.7914  0.2661 
   00037    0.4412   -5229.3707  0.2664 
   00038    0.4631   -5214.8694  0.2570 
   00039    0.4331   -5235.4835  0.2615 
   00040    0.4369   -5253.8406  0.2703 
   00041    0.4569   -5257.0577  0.2777 
   00042    0.4381   -5259.7016  0.2833 
   00043    0.4244   -5272.5022  0.2807 
   00044    0.4500   -5251.5301  0.2785 
   00045    0.4731   -5258.0516  0.2753 
   00046    0.4338   -5237.7967  0.2706 
   00047    0.4662   -5262.7588  0.2708 
   00048    0.4512   -5260.2422  0.2735 
   00049    0.4444   -5278.3101  0.2821 
   00050    0.4569   -5313.2345  0.2790 
   00051    0.4375   -5317.1392  0.2856 
   00052    0.4525   -5328.0487  0.2831 
   00053    0.4369   -5309.7224  0.2798 
   00054    0.4325   -5319.1873  0.2757 
   00055    0.4475   -5308.6550  0.2712 
   00056    0.4306   -5326.2996  0.2724 
   00057    0.4144   -5341.2312  0.2745 
   00058    0.4306   -5350.4783  0.2760 
   00059    0.4412   -5347.2139  0.2775 
   00060    0.4313   -5325.1776  0.2733 
   00061    0.4562   -5316.2188  0.2748 
   00062    0.4431   -5337.8384  0.2827 
   00063    0.4469   -5354.4097  0.2820 
   00064    0.4344   -5377.3867  0.2886 
   00065    0.4412   -5344.4721  0.2879 
   00066    0.4550   -5341.4141  0.2782 
   00067    0.4350   -5333.5001  0.2838 
   00068    0.4344   -5353.4602  0.2763 
   00069    0.4113   -5356.8514  0.2746 
   00070    0.4525   -5353.7022  0.2719 
   00071    0.4437   -5387.1431  0.2673 
   00072    0.4544   -5395.2923  0.2705 
   00073    0.4450   -5389.3415  0.2763 
   00074    0.4244   -5405.5908  0.2801 
   00075    0.4431   -5380.0667  0.2684 
   00076    0.4394   -5366.4392  0.2693 
   00077    0.4469   -5384.3497  0.2665 
   00078    0.4319   -5380.7756  0.2677 
   00079    0.4556   -5369.1736  0.2687 
   00080    0.4313   -5334.1969  0.2655 
   00081    0.4412   -5372.6866  0.2686 
   00082    0.4194   -5363.4541  0.2774 
   00083    0.4231   -5374.1970  0.2757 
   00084    0.4494   -5353.5221  0.2860 
   00085    0.4500   -5363.7318  0.2868 
   00086    0.4244   -5350.6633  0.2825 
   00087    0.4419   -5367.6012  0.2820 
   00088    0.4412   -5390.5686  0.2788 
   00089    0.4194   -5384.7239  0.2759 
   00090    0.4600   -5402.9149  0.2785 
   00091    0.4431   -5416.9787  0.2818 
   00092    0.4456   -5406.2146  0.2765 
   00093    0.4525   -5389.8010  0.2718 
   00094    0.4356   -5360.1642  0.2752 
   00095    0.4363   -5364.3972  0.2683 
   00096    0.4544   -5405.2868  0.2595 
   00097    0.4437   -5427.0649  0.2699 
   00098    0.4506   -5452.9156  0.2694 
   00099    0.4412   -5442.8817  0.2686 
   00100    0.4294   -5429.4964  0.2615 
   00101    0.4294   -5416.1766  0.2582 
   00102    0.4263   -5433.9962  0.2568 
   00103    0.4281   -5444.4722  0.2585 
   00104    0.4475   -5427.1785  0.2649 
   00105    0.4369   -5403.9644  0.2601 
   00106    0.4288   -5411.0838  0.2655 
   00107    0.4294   -5414.2329  0.2614 
   00108    0.4419   -5422.9004  0.2652 
   00109    0.4444   -5442.8862  0.2702 
   00110    0.4250   -5436.4770  0.2682 
   00111    0.4194   -5429.6871  0.2680 
   00112    0.4194   -5426.1005  0.2655 
   00113    0.4281   -5427.3468  0.2653 
   00114    0.4256   -5436.9689  0.2688 
   00115    0.4238   -5433.4773  0.2663 
   00116    0.4100   -5446.5352  0.2675 
   00117    0.4406   -5406.5768  0.2678 
   00118    0.4544   -5410.4326  0.2744 
   00119    0.4387   -5433.1466  0.2733 
   00120    0.4244   -5425.0940  0.2680 
   00121    0.4738   -5434.9111  0.2704 
   00122    0.4225   -5439.5650  0.2693 
   00123    0.4288   -5433.7526  0.2795 
   00124    0.4412   -5454.5433  0.2829 
   00125    0.4188   -5473.1088  0.2839 
   00126    0.4419   -5486.8134  0.2748 
   00127    0.4556   -5488.1058  0.2778 
   00128    0.4456   -5507.8181  0.2867 
   00129    0.4288   -5492.4204  0.2896 
   00130    0.4537   -5470.0420  0.2902 
   00131    0.4381   -5459.0846  0.2888 
   00132    0.4425   -5447.1685  0.2827 
   00133    0.4363   -5448.8245  0.2777 
   00134    0.4250   -5475.0971  0.2684 
   00135    0.4194   -5460.3388  0.2719 
   00136    0.4456   -5501.4771  0.2745 
   00137    0.4319   -5482.6283  0.2752 
   00138    0.4275   -5468.8279  0.2731 
   00139    0.4281   -5478.0889  0.2688 
   00140    0.4219   -5468.5793  0.2655 
   00141    0.4363   -5449.9605  0.2651 
   00142    0.4313   -5448.8474  0.2617 
   00143    0.4219   -5448.1918  0.2591 
   00144    0.4425   -5456.3111  0.2581 
   00145    0.4319   -5484.9813  0.2528 
   00146    0.4387   -5457.4094  0.2521 
   00147    0.4494   -5483.4131  0.2538 
   00148    0.4288   -5488.3737  0.2614 
   00149    0.4050   -5497.5393  0.2637 
   00150    0.4419   -5523.7968  0.2621 
   00151    0.4519   -5522.6907  0.2652 
   00152    0.4412   -5529.9601  0.2617 
   00153    0.4156   -5519.3951  0.2611 
   00154    0.4238   -5535.0835  0.2591 
   00155    0.4288   -5510.1327  0.2590 
   00156    0.4431   -5516.8901  0.2582 
   00157    0.4419   -5520.2395  0.2542 
   00158    0.4344   -5545.0273  0.2664 
   00159    0.4069   -5549.2422  0.2569 
   00160    0.4306   -5541.6529  0.2543 
   00161    0.4519   -5572.7044  0.2565 
   00162    0.4338   -5551.9142  0.2658 
   00163    0.4294   -5539.7007  0.2575 
   00164    0.4406   -5528.0368  0.2561 
   00165    0.4113   -5533.6554  0.2535 
   00166    0.4369   -5551.1995  0.2513 
   00167    0.4263   -5572.3032  0.2556 
   00168    0.4200   -5523.1638  0.2591 
   00169    0.4469   -5533.8438  0.2566 
   00170    0.4300   -5515.0971  0.2636 
   00171    0.4369   -5531.0736  0.2645 
   00172    0.4338   -5573.8701  0.2620 
   00173    0.4387   -5585.5375  0.2573 
   00174    0.4150   -5592.9887  0.2579 
   00175    0.4100   -5574.5631  0.2600 
   00176    0.4313   -5568.4714  0.2626 
   00177    0.4444   -5568.5461  0.2613 
   00178    0.4456   -5559.1523  0.2636 
   00179    0.4350   -5557.7326  0.2562 
   00180    0.4206   -5599.7628  0.2589 
   00181    0.4469   -5601.9292  0.2591 
   00182    0.4313   -5565.8180  0.2580 
   00183    0.4412   -5569.8787  0.2588 
   00184    0.4131   -5582.8267  0.2571 
   00185    0.4506   -5584.0112  0.2593 
   00186    0.4144   -5571.2806  0.2685 
   00187    0.4519   -5585.3721  0.2726 
   00188    0.4400   -5546.2161  0.2770 
   00189    0.4113   -5566.6947  0.2723 
   00190    0.4081   -5565.6273  0.2750 
   00191    0.4200   -5538.2944  0.2811 
   00192    0.4219   -5535.6783  0.2818 
   00193    0.4437   -5552.7453  0.2819 
   00194    0.4244   -5526.4081  0.2860 
   00195    0.4200   -5530.1002  0.2852 
   00196    0.4338   -5531.6719  0.2882 
   00197    0.4194   -5558.6674  0.2846 
   00198    0.4350   -5561.2652  0.2866 
   00199    0.4419   -5573.3736  0.2878 
   00200    0.4375   -5561.3601  0.2912 
   00201    0.4387   -5557.3683  0.2872 
   00202    0.4325   -5533.0415  0.2830 
   00203    0.4306   -5519.0279  0.2887 
   00204    0.4313   -5525.1854  0.2871 
   00205    0.4219   -5564.9165  0.2904 
   00206    0.4244   -5558.7828  0.2930 
   00207    0.4206   -5571.0804  0.2951 
   00208    0.4094   -5590.8225  0.2912 
   00209    0.4275   -5583.7277  0.2902 
   00210    0.4250   -5570.6408  0.2890 
   00211    0.4081   -5549.9427  0.2861 
   00212    0.4188   -5535.2417  0.2893 
   00213    0.4213   -5537.9659  0.2881 
   00214    0.4056   -5528.8215  0.2840 
   00215    0.4238   -5526.6934  0.2903 
   00216    0.4269   -5534.8838  0.2887 
   00217    0.4450   -5545.5933  0.2912 
   00218    0.4506   -5550.1680  0.2955 
   00219    0.4231   -5536.0654  0.2923 
   00220    0.4331   -5568.2104  0.2996 
   00221    0.4313   -5598.9340  0.3023 
   00222    0.4194   -5589.8591  0.2946 
   00223    0.4263   -5586.3862  0.2961 
   00224    0.4363   -5613.2268  0.2908 
   00225    0.4269   -5600.4581  0.2909 
   00226    0.4194   -5563.4636  0.2845 
   00227    0.4238   -5542.4131  0.2818 
   00228    0.4275   -5576.2821  0.2868 
   00229    0.4100   -5599.0241  0.2927 
   00230    0.4194   -5606.6804  0.2918 
   00231    0.4150   -5605.4373  0.2921 
   00232    0.4131   -5599.0852  0.2953 
   00233    0.4288   -5568.6228  0.2878 
   00234    0.4269   -5555.4131  0.2915 
   00235    0.4350   -5552.8312  0.2911 
   00236    0.4288   -5571.2916  0.2956 
   00237    0.4006   -5580.9874  0.2980 
   00238    0.4437   -5576.4486  0.2990 
   00239    0.4369   -5578.9152  0.2974 
   00240    0.4444   -5592.7113  0.3026 
   00241    0.4281   -5605.3542  0.2999 
   00242    0.4363   -5617.2388  0.2953 
   00243    0.4144   -5617.5682  0.2924 
   00244    0.4088   -5609.1044  0.2934 
   00245    0.4119   -5629.1615  0.2930 
   00246    0.4369   -5605.7220  0.2891 
   00247    0.4387   -5598.5981  0.2863 
   00248    0.4306   -5587.1964  0.2901 
   00249    0.4200   -5589.9855  0.2837 
   00250    0.4094   -5601.0457  0.2844 
   00251    0.4288   -5569.5052  0.2786 
   00252    0.4244   -5555.1624  0.2798 
   00253    0.4381   -5535.8801  0.2817 
   00254    0.4200   -5572.3282  0.2855 
   00255    0.4250   -5571.6605  0.2857 
   00256    0.4412   -5599.0548  0.2819 
   00257    0.4156   -5615.0480  0.2837 
   00258    0.4244   -5594.1981  0.2870 
   00259    0.4138   -5595.9541  0.2811 
   00260    0.4331   -5598.9480  0.2842 
   00261    0.4519   -5567.3622  0.2855 
   00262    0.4213   -5586.9214  0.2793 
   00263    0.4512   -5580.7451  0.2841 
   00264    0.4163   -5562.1480  0.2769 
   00265    0.4044   -5563.2154  0.2693 
   00266    0.4256   -5559.6666  0.2730 
   00267    0.4331   -5564.8888  0.2665 
   00268    0.4263   -5549.4637  0.2687 
   00269    0.4381   -5545.9355  0.2711 
   00270    0.4338   -5562.0681  0.2742 
   00271    0.4425   -5562.8116  0.2761 
   00272    0.4263   -5582.4655  0.2767 
   00273    0.4238   -5598.2756  0.2818 
   00274    0.4381   -5595.2427  0.2843 
   00275    0.4313   -5616.2267  0.2820 
   00276    0.4269   -5615.8340  0.2765 
   00277    0.4181   -5606.9564  0.2767 
   00278    0.4281   -5596.2191  0.2749 
   00279    0.3937   -5588.9681  0.2763 
   00280    0.4156   -5571.6824  0.2790 
   00281    0.4363   -5575.4053  0.2771 
   00282    0.4375   -5583.7095  0.2690 
   00283    0.4219   -5569.2937  0.2732 
   00284    0.4350   -5567.3897  0.2711 
   00285    0.4163   -5603.7133  0.2745 
   00286    0.4244   -5600.8602  0.2736 
   00287    0.4163   -5596.6437  0.2763 
   00288    0.4094   -5548.2688  0.2791 
   00289    0.4338   -5542.8388  0.2781 
   00290    0.4288   -5550.9430  0.2861 
   00291    0.4450   -5538.5773  0.2850 
   00292    0.4456   -5540.6032  0.2862 
   00293    0.4363   -5570.1898  0.2877 
   00294    0.4081   -5576.0457  0.2876 
   00295    0.4275   -5598.6645  0.2924 
   00296    0.4094   -5592.7460  0.2874 
   00297    0.4412   -5573.0780  0.2755 
   00298    0.4213   -5589.6993  0.2758 
   00299    0.4294   -5597.9480  0.2752 
   00300    0.4338   -5592.7829  0.2667 
   00301    0.3931   -5600.5086  0.2629 
   00302    0.4394   -5576.8648  0.2695 
   00303    0.4387   -5590.6524  0.2737 
   00304    0.4281   -5607.0958  0.2744 
   00305    0.4175   -5577.0699  0.2791 
   00306    0.4406   -5571.5827  0.2806 
   00307    0.4381   -5570.1168  0.2712 
   00308    0.4281   -5551.0572  0.2713 
   00309    0.4487   -5584.0533  0.2708 
   00310    0.4288   -5601.1427  0.2719 
   00311    0.4313   -5604.5777  0.2724 
   00312    0.4419   -5592.0873  0.2704 
   00313    0.4281   -5590.4631  0.2766 
   00314    0.4363   -5603.7406  0.2775 
   00315    0.4231   -5589.2616  0.2814 
   00316    0.4169   -5543.7646  0.2875 
   00317    0.4269   -5551.5796  0.2819 
   00318    0.4306   -5570.1174  0.2792 
   00319    0.4381   -5575.0908  0.2800 
   00320    0.4294   -5568.9137  0.2813 
   00321    0.4494   -5561.6118  0.2810 
   00322    0.4469   -5570.8997  0.2827 
   00323    0.4437   -5548.5988  0.2834 
   00324    0.4012   -5574.3873  0.2835 
   00325    0.4325   -5593.5872  0.2908 
   00326    0.4319   -5608.8283  0.2941 
   00327    0.4294   -5595.6133  0.2971 
   00328    0.4469   -5605.3718  0.3000 
   00329    0.4131   -5583.9972  0.3008 
   00330    0.4369   -5584.3140  0.2963 
   00331    0.4256   -5554.1457  0.2954 
   00332    0.4325   -5571.8889  0.2872 
   00333    0.4450   -5569.2931  0.2834 
   00334    0.4369   -5573.8540  0.2873 
   00335    0.4462   -5599.3791  0.2865 
   00336    0.4412   -5607.3527  0.2925 
   00337    0.4263   -5601.7519  0.2937 
   00338    0.4319   -5622.2481  0.2984 
   00339    0.4275   -5587.3035  0.2928 
   00340    0.4138   -5588.4008  0.2954 
   00341    0.4131   -5605.7331  0.2964 
   00342    0.4238   -5611.7456  0.2918 
   00343    0.4363   -5611.9344  0.2925 
   00344    0.4062   -5610.3861  0.2954 
   00345    0.4138   -5633.8637  0.2932 
   00346    0.4306   -5621.1729  0.2950 
   00347    0.4387   -5616.9428  0.2986 
   00348    0.4369   -5617.6435  0.2924 
   00349    0.4381   -5616.7902  0.2878 
   00350    0.4419   -5629.0423  0.2964 
   00351    0.4163   -5606.4930  0.2967 
   00352    0.4431   -5602.5559  0.3005 
   00353    0.4319   -5584.5763  0.2989 
   00354    0.4356   -5570.6388  0.2979 
   00355    0.4269   -5558.4630  0.3042 
