#=====================================================
# File created:        Mon-06-Nov-2023-at-03-17-28PM
# Size of lattice:     60x60
# Number of MC steps:  1000
# Reduced temperature: 0.800
# Run time (s):        16.166361
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3528.2349  0.2626 
   00001    0.6811   -5439.8577  0.2670 
   00002    0.6219   -6556.8687  0.2782 
   00003    0.5778   -7230.7565  0.2664 
   00004    0.5506   -7659.1639  0.2651 
   00005    0.5350   -8042.0151  0.2691 
   00006    0.5008   -8249.2451  0.2700 
   00007    0.4997   -8417.0954  0.2722 
   00008    0.5056   -8582.6195  0.2827 
   00009    0.4986   -8817.6510  0.2874 
   00010    0.4794   -8917.3891  0.2961 
   00011    0.4544   -9022.9957  0.2981 
   00012    0.4806   -9098.4137  0.3025 
   00013    0.4781   -9067.0476  0.3019 
   00014    0.4583   -9260.5961  0.2952 
   00015    0.4514   -9268.3277  0.2956 
   00016    0.4689   -9262.3660  0.2939 
   00017    0.4547   -9346.4699  0.2939 
   00018    0.4647   -9314.4667  0.2966 
   00019    0.4625   -9350.9692  0.2973 
   00020    0.4528   -9395.1776  0.2861 
   00021    0.4644   -9347.2969  0.2858 
   00022    0.4725   -9349.1363  0.2826 
   00023    0.4547   -9399.8305  0.2804 
   00024    0.4581   -9488.9681  0.2778 
   00025    0.4589   -9482.2846  0.2822 
   00026    0.4586   -9514.1151  0.2859 
   00027    0.4631   -9568.5616  0.2867 
   00028    0.4472   -9546.2224  0.2808 
   00029    0.4569   -9466.3485  0.2764 
   00030    0.4522   -9545.9058  0.2818 
   00031    0.4692   -9550.5964  0.2929 
   00032    0.4622   -9623.8660  0.3018 
   00033    0.4353   -9657.3138  0.3119 
   00034    0.4561   -9557.4567  0.3094 
   00035    0.4483   -9646.0707  0.3166 
   00036    0.4592   -9712.3262  0.3226 
   00037    0.4331   -9689.1241  0.3174 
   00038    0.4486   -9716.2331  0.3193 
   00039    0.4353   -9772.7046  0.3107 
   00040    0.4503   -9787.8459  0.3085 
   00041    0.4325   -9808.8384  0.3122 
   00042    0.4372   -9945.7214  0.3151 
   00043    0.4200   -9932.2208  0.3157 
   00044    0.4469   -9934.8098  0.3092 
   00045    0.4239   -9897.1846  0.3039 
   00046    0.4375   -9887.0918  0.3006 
   00047    0.4269   -9812.6630  0.3090 
   00048    0.4336   -9868.0036  0.3147 
   00049    0.4247   -9919.8545  0.3160 
   00050    0.4322   -9836.3789  0.3200 
   00051    0.4525   -9839.0489  0.3282 
   00052    0.4389   -9913.2861  0.3296 
   00053    0.4353   -9875.5031  0.3307 
   00054    0.4369   -9869.3798  0.3278 
   00055    0.4453   -9907.7764  0.3314 
   00056    0.4342  -10009.5415  0.3322 
   00057    0.4303  -10035.5523  0.3328 
   00058    0.4283  -10003.5986  0.3318 
   00059    0.4358   -9961.3942  0.3339 
   00060    0.4397   -9907.0847  0.3314 
   00061    0.4364   -9865.5689  0.3343 
   00062    0.4336   -9806.6530  0.3340 
   00063    0.4417   -9887.2233  0.3384 
   00064    0.4258   -9868.0128  0.3382 
   00065    0.4469   -9854.5957  0.3329 
   00066    0.4231  -10055.6397  0.3397 
   00067    0.4367   -9950.4586  0.3513 
   00068    0.4422  -10041.6531  0.3503 
   00069    0.4086  -10025.0268  0.3635 
   00070    0.4297   -9943.3531  0.3618 
   00071    0.4189   -9982.2191  0.3600 
   00072    0.4181  -10061.5440  0.3587 
   00073    0.4339  -10105.6330  0.3656 
   00074    0.4392  -10177.4954  0.3617 
   00075    0.4258  -10070.3616  0.3643 
   00076    0.4319  -10115.0840  0.3638 
   00077    0.4208  -10078.5875  0.3701 
   00078    0.4294  -10033.4297  0.3712 
   00079    0.4161  -10159.4021  0.3738 
   00080    0.4194  -10201.4485  0.3765 
   00081    0.4311  -10113.0212  0.3701 
   00082    0.4236  -10082.1838  0.3743 
   00083    0.4172  -10116.4752  0.3816 
   00084    0.4169  -10085.2017  0.3859 
   00085    0.4453  -10036.6682  0.3856 
   00086    0.4269  -10066.0719  0.3860 
   00087    0.4267  -10068.1930  0.3818 
   00088    0.4275  -10073.3966  0.3798 
   00089    0.4342   -9958.0187  0.3760 
   00090    0.4339   -9995.0085  0.3735 
   00091    0.4394  -10043.5544  0.3832 
   00092    0.4253  -10073.7988  0.3896 
   00093    0.4247   -9999.3156  0.3958 
   00094    0.4378  -10008.4107  0.3979 
   00095    0.4267  -10128.7659  0.4017 
   00096    0.4275  -10159.4771  0.4041 
   00097    0.4219  -10235.1008  0.4052 
   00098    0.4236  -10228.1520  0.4023 
   00099    0.4203  -10221.9381  0.4070 
   00100    0.4292  -10187.9077  0.3997 
   00101    0.4331  -10112.2762  0.3972 
   00102    0.4233  -10198.7534  0.3975 
   00103    0.4414  -10194.5845  0.3969 
   00104    0.4353  -10140.4917  0.3970 
   00105    0.4317  -10169.0681  0.3974 
   00106    0.4347  -10086.0963  0.4000 
   00107    0.4283  -10075.2900  0.3992 
   00108    0.4203  -10139.3956  0.3960 
   00109    0.4317  -10139.2046  0.4000 
   00110    0.4297  -10099.2855  0.3964 
   00111    0.4411  -10107.1138  0.3932 
   00112    0.4350  -10007.0313  0.3921 
   00113    0.4258  -10015.4154  0.3950 
   00114    0.4389  -10055.5830  0.3950 
   00115    0.4267  -10162.6785  0.3995 
   00116    0.4378  -10009.9112  0.3940 
   00117    0.4211  -10040.7039  0.3997 
   00118    0.4264  -10182.4238  0.3973 
   00119    0.4278  -10151.2601  0.4030 
   00120    0.4211  -10219.4796  0.4072 
   00121    0.4103  -10140.3725  0.4100 
   00122    0.4361  -10092.6949  0.4115 
   00123    0.4350  -10101.2846  0.4124 
   00124    0.4306  -10152.4439  0.4140 
   00125    0.4217  -10247.5850  0.4053 
   00126    0.4272  -10167.8719  0.4046 
   00127    0.4267  -10186.9295  0.3965 
   00128    0.4400  -10251.8170  0.3964 
   00129    0.4267  -10219.5142  0.3925 
   00130    0.4139  -10251.7385  0.3921 
