#=====================================================
# File created:        Tue-07-Nov-2023-at-11-58-43AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 2.000
# Run time (s):        12.373311
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -402.3499  0.2571 
   00001    0.7900    -571.8908  0.3224 
   00002    0.7350    -678.0741  0.3374 
   00003    0.7300    -619.2500  0.3433 
   00004    0.7100    -724.1509  0.3699 
   00005    0.7175    -646.0541  0.3499 
   00006    0.7075    -624.9352  0.2854 
   00007    0.7375    -646.9930  0.3048 
   00008    0.7500    -638.9088  0.3383 
   00009    0.7550    -607.3372  0.3214 
   00010    0.7175    -640.7721  0.2899 
   00011    0.7425    -646.5967  0.3387 
   00012    0.6975    -626.9029  0.2934 
   00013    0.7600    -622.0550  0.2661 
   00014    0.7000    -655.1623  0.2596 
   00015    0.7375    -708.2263  0.3172 
   00016    0.7200    -697.0742  0.2571 
   00017    0.7300    -675.6318  0.3257 
   00018    0.6925    -659.0270  0.2838 
   00019    0.6950    -665.0651  0.3139 
   00020    0.7125    -634.4591  0.2890 
   00021    0.7050    -631.3484  0.3022 
   00022    0.7300    -633.2590  0.3123 
   00023    0.7225    -621.4714  0.2857 
   00024    0.7250    -622.6704  0.2950 
   00025    0.7200    -595.1988  0.2896 
   00026    0.7375    -629.6875  0.2637 
   00027    0.6775    -623.7832  0.2675 
   00028    0.7275    -600.4655  0.2785 
   00029    0.7400    -656.4988  0.3016 
   00030    0.7000    -666.9201  0.3361 
   00031    0.7950    -598.2871  0.3325 
   00032    0.7575    -643.3371  0.2926 
   00033    0.7600    -613.4965  0.2902 
   00034    0.7325    -651.0895  0.3263 
   00035    0.7200    -680.7067  0.3688 
   00036    0.7075    -648.3253  0.3736 
   00037    0.7350    -598.5259  0.3337 
   00038    0.7350    -602.3349  0.3026 
   00039    0.7300    -647.0138  0.3135 
   00040    0.6850    -669.3773  0.3028 
   00041    0.7150    -642.6631  0.3091 
   00042    0.7200    -639.2755  0.3223 
   00043    0.6875    -640.0614  0.2734 
   00044    0.7550    -671.6386  0.2850 
   00045    0.7450    -647.3898  0.2968 
   00046    0.6875    -649.5503  0.2983 
   00047    0.7225    -687.6116  0.2766 
   00048    0.7175    -663.8605  0.2888 
   00049    0.7275    -648.0975  0.2874 
   00050    0.7650    -602.0406  0.2760 
   00051    0.7325    -612.7175  0.2777 
   00052    0.7550    -635.5576  0.2963 
   00053    0.7450    -628.2368  0.2911 
   00054    0.6725    -613.6480  0.2887 
   00055    0.7225    -604.1141  0.2760 
   00056    0.7125    -640.9400  0.2704 
   00057    0.7375    -619.4926  0.2960 
   00058    0.7450    -642.5249  0.2982 
   00059    0.7500    -655.1865  0.2625 
   00060    0.6850    -614.0058  0.2775 
   00061    0.7850    -604.6259  0.3079 
   00062    0.7150    -652.4755  0.3285 
   00063    0.7400    -587.0384  0.3334 
   00064    0.7475    -623.0592  0.3231 
   00065    0.6850    -645.8667  0.3175 
   00066    0.7300    -692.8649  0.3097 
   00067    0.6925    -625.5431  0.2793 
   00068    0.7350    -625.6135  0.3036 
   00069    0.7375    -653.2884  0.3109 
   00070    0.7525    -602.8935  0.2991 
   00071    0.7350    -591.5226  0.2943 
   00072    0.7475    -688.7104  0.3080 
   00073    0.7350    -643.0292  0.2746 
   00074    0.7200    -641.8494  0.2687 
   00075    0.7200    -672.1895  0.2937 
   00076    0.6800    -691.0702  0.2959 
   00077    0.7450    -653.8429  0.2944 
   00078    0.6975    -646.9044  0.2619 
   00079    0.7300    -615.0191  0.2786 
   00080    0.7525    -618.4753  0.2956 
   00081    0.7500    -596.6833  0.2922 
   00082    0.7475    -590.7458  0.2715 
   00083    0.7575    -642.7632  0.3204 
   00084    0.7475    -590.9106  0.3363 
   00085    0.7350    -658.4013  0.3459 
   00086    0.7250    -680.2170  0.3150 
   00087    0.7425    -601.2090  0.3416 
   00088    0.7575    -602.6804  0.3005 
   00089    0.7300    -624.8926  0.3031 
   00090    0.6975    -639.7527  0.3127 
   00091    0.7425    -600.9056  0.3061 
   00092    0.7500    -655.5770  0.2762 
   00093    0.7350    -629.9695  0.2896 
   00094    0.7375    -582.1685  0.2926 
   00095    0.7550    -582.3044  0.2647 
   00096    0.7325    -654.9644  0.2935 
   00097    0.7750    -631.9143  0.2568 
   00098    0.7200    -621.3582  0.2914 
   00099    0.7300    -642.9341  0.2816 
   00100    0.7150    -595.8420  0.2724 
   00101    0.7500    -598.4501  0.2691 
   00102    0.7400    -623.3522  0.2811 
   00103    0.7450    -630.1435  0.2798 
   00104    0.7325    -597.2217  0.3000 
   00105    0.7350    -628.9897  0.3128 
   00106    0.7475    -605.9207  0.3153 
   00107    0.7150    -584.2377  0.2973 
   00108    0.7850    -616.5791  0.3043 
   00109    0.7225    -576.7340  0.2738 
   00110    0.7350    -613.1921  0.2900 
   00111    0.7550    -594.9422  0.3407 
   00112    0.7600    -571.8220  0.2819 
   00113    0.7925    -598.7133  0.2796 
   00114    0.7000    -660.7252  0.2838 
   00115    0.7300    -668.1378  0.2896 
   00116    0.7250    -663.6373  0.2654 
   00117    0.7475    -625.0995  0.2923 
   00118    0.7200    -667.0732  0.2855 
   00119    0.7600    -644.5739  0.3023 
   00120    0.7300    -687.7228  0.2717 
   00121    0.6775    -642.5393  0.2890 
   00122    0.7425    -656.9820  0.2995 
   00123    0.7250    -663.1186  0.2770 
   00124    0.7050    -636.5388  0.2875 
   00125    0.7525    -607.6031  0.3147 
   00126    0.7525    -602.2125  0.2868 
   00127    0.7400    -607.9459  0.3014 
   00128    0.7250    -594.1283  0.2664 
   00129    0.7450    -660.8951  0.3025 
   00130    0.7050    -647.9698  0.2792 
   00131    0.7025    -680.2952  0.2680 
   00132    0.7025    -672.4434  0.2881 
   00133    0.7200    -635.9740  0.2738 
   00134    0.7050    -696.3289  0.2742 
   00135    0.7100    -660.0924  0.2873 
   00136    0.7050    -663.5406  0.2990 
   00137    0.6650    -692.4492  0.2679 
   00138    0.7275    -675.6371  0.2591 
   00139    0.6900    -657.9859  0.2795 
   00140    0.7200    -655.9495  0.2908 
   00141    0.6900    -641.8786  0.2939 
   00142    0.6975    -622.5945  0.3218 
   00143    0.7325    -681.8399  0.3198 
   00144    0.6825    -686.2554  0.3353 
   00145    0.7125    -697.2054  0.2825 
   00146    0.7175    -690.7449  0.2892 
   00147    0.7200    -652.3819  0.2577 
   00148    0.7600    -595.3847  0.2933 
   00149    0.7125    -634.4351  0.2843 
   00150    0.7000    -592.3384  0.2988 
   00151    0.7175    -591.5306  0.3103 
   00152    0.7050    -613.8085  0.3135 
   00153    0.7400    -577.7009  0.3045 
   00154    0.7275    -606.4006  0.3454 
   00155    0.7350    -620.8013  0.3258 
   00156    0.7475    -584.7915  0.3352 
   00157    0.7250    -629.0051  0.3326 
   00158    0.6975    -645.1853  0.3037 
   00159    0.7375    -677.5957  0.2864 
   00160    0.7250    -659.4806  0.3125 
   00161    0.7100    -641.0575  0.2872 
   00162    0.6800    -661.5680  0.3153 
   00163    0.6925    -642.4171  0.2989 
   00164    0.7225    -636.3179  0.2862 
   00165    0.7225    -637.0006  0.2785 
   00166    0.7475    -583.4802  0.3057 
   00167    0.7225    -618.1965  0.2982 
   00168    0.7875    -589.7591  0.3039 
   00169    0.7525    -614.9203  0.2823 
   00170    0.7700    -537.4550  0.2765 
   00171    0.7800    -587.3491  0.2700 
   00172    0.7400    -613.6806  0.2873 
   00173    0.7500    -629.1413  0.2810 
   00174    0.7200    -576.9048  0.2895 
   00175    0.7375    -595.7191  0.2733 
   00176    0.7175    -589.6260  0.2821 
   00177    0.7550    -589.2142  0.2711 
   00178    0.7175    -610.3777  0.2985 
   00179    0.7575    -605.5934  0.3016 
   00180    0.6975    -610.0578  0.3439 
   00181    0.7525    -648.0529  0.2873 
   00182    0.7700    -624.7362  0.2667 
   00183    0.7325    -565.7139  0.2695 
   00184    0.7400    -623.5505  0.2738 
   00185    0.7150    -656.8631  0.2876 
   00186    0.7375    -640.1805  0.2568 
   00187    0.6925    -686.7319  0.2989 
   00188    0.7350    -619.0744  0.3243 
   00189    0.7050    -638.0964  0.2998 
   00190    0.7025    -708.0838  0.2722 
   00191    0.7300    -634.0163  0.3007 
   00192    0.7625    -622.9835  0.2853 
   00193    0.7175    -686.5759  0.2928 
   00194    0.7500    -618.4798  0.3371 
   00195    0.7100    -659.8282  0.3050 
   00196    0.7000    -643.1386  0.3257 
   00197    0.7375    -642.3318  0.2747 
   00198    0.7325    -681.3893  0.2912 
   00199    0.7100    -640.3054  0.2721 
   00200    0.7575    -580.7910  0.2812 
   00201    0.7725    -596.8898  0.2752 
   00202    0.7475    -584.9832  0.2866 
   00203    0.7200    -625.0510  0.2909 
   00204    0.7375    -595.9394  0.3002 
   00205    0.7450    -600.2397  0.3141 
   00206    0.7450    -585.2259  0.3178 
   00207    0.7725    -611.7758  0.3187 
   00208    0.7075    -690.2336  0.3508 
   00209    0.6600    -676.2961  0.3227 
   00210    0.7475    -635.8659  0.3137 
   00211    0.7275    -629.4254  0.3234 
   00212    0.7475    -629.9965  0.3139 
   00213    0.7100    -668.2865  0.3017 
   00214    0.7175    -699.5556  0.2923 
   00215    0.7150    -651.9508  0.2910 
   00216    0.7075    -608.2029  0.2754 
   00217    0.7475    -631.4548  0.2752 
   00218    0.7150    -620.7686  0.2798 
   00219    0.7250    -645.5815  0.3210 
   00220    0.7500    -625.1804  0.3530 
   00221    0.7450    -594.0485  0.3315 
   00222    0.7550    -581.0189  0.2971 
   00223    0.7550    -595.9275  0.2861 
   00224    0.7500    -625.8682  0.2849 
   00225    0.7500    -606.5266  0.3205 
   00226    0.7125    -666.1568  0.3082 
