#=====================================================
# File created:        Mon-06-Nov-2023-at-10-49-34AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.400
# Run time (s):        9.886574
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -431.7943  0.2704 
   00001    0.5900    -478.2281  0.2716 
   00002    0.5900    -499.6050  0.2778 
   00003    0.6000    -530.5516  0.2791 
   00004    0.4800    -567.7090  0.2855 
   00005    0.5900    -601.6777  0.2884 
   00006    0.4800    -610.4492  0.2859 
   00007    0.4800    -623.3122  0.2812 
   00008    0.5100    -654.8150  0.2797 
   00009    0.4800    -671.7738  0.2813 
   00010    0.4100    -679.7191  0.2872 
   00011    0.5400    -717.9433  0.2903 
   00012    0.4800    -741.5757  0.2950 
   00013    0.5200    -773.7578  0.3001 
   00014    0.4900    -783.3280  0.2917 
   00015    0.4900    -784.1824  0.2934 
   00016    0.4300    -802.3281  0.3027 
   00017    0.4900    -820.5044  0.3106 
   00018    0.4200    -853.7123  0.3049 
   00019    0.4100    -871.6957  0.3105 
   00020    0.4200    -885.7355  0.3114 
   00021    0.4000    -902.6158  0.3137 
   00022    0.5000    -924.7707  0.3267 
   00023    0.4800    -938.7006  0.3240 
   00024    0.3300    -941.2200  0.3277 
   00025    0.3900    -945.8622  0.3320 
   00026    0.4300    -949.5390  0.3313 
   00027    0.4700    -968.2556  0.3317 
   00028    0.4500    -981.9822  0.3347 
   00029    0.4700    -999.6649  0.3289 
   00030    0.4100   -1004.4544  0.3331 
   00031    0.3600   -1007.9586  0.3275 
   00032    0.3700   -1027.1218  0.3369 
   00033    0.4000   -1036.5499  0.3336 
   00034    0.4300   -1041.6559  0.3324 
   00035    0.4000   -1039.7179  0.3365 
   00036    0.4300   -1050.9048  0.3390 
   00037    0.3800   -1050.1910  0.3423 
   00038    0.4500   -1065.9961  0.3458 
   00039    0.3700   -1075.9843  0.3469 
   00040    0.4300   -1085.1919  0.3438 
   00041    0.4300   -1084.7347  0.3478 
   00042    0.4300   -1091.1336  0.3469 
   00043    0.4000   -1095.0250  0.3492 
   00044    0.3900   -1093.7076  0.3491 
   00045    0.3400   -1102.3273  0.3546 
   00046    0.3700   -1112.8027  0.3474 
   00047    0.3500   -1118.4112  0.3518 
   00048    0.4000   -1125.7074  0.3552 
   00049    0.3500   -1129.1188  0.3613 
   00050    0.3800   -1124.6801  0.3602 
   00051    0.3600   -1142.2619  0.3572 
   00052    0.3600   -1153.4692  0.3619 
   00053    0.3800   -1151.8368  0.3583 
   00054    0.3800   -1151.7588  0.3651 
   00055    0.3700   -1151.0718  0.3667 
   00056    0.4400   -1156.1692  0.3775 
   00057    0.4100   -1161.6693  0.3691 
   00058    0.4100   -1161.7392  0.3658 
   00059    0.4500   -1164.9131  0.3711 
   00060    0.4400   -1154.4114  0.3774 
   00061    0.4000   -1162.9379  0.3805 
   00062    0.3300   -1158.8763  0.3803 
   00063    0.3500   -1171.1356  0.3837 
   00064    0.4300   -1178.2087  0.3863 
   00065    0.3300   -1187.0433  0.3970 
   00066    0.4100   -1190.8507  0.4046 
   00067    0.4500   -1198.9847  0.3973 
   00068    0.3100   -1203.8543  0.3953 
   00069    0.4000   -1208.5037  0.4046 
   00070    0.3800   -1212.3528  0.4116 
   00071    0.4200   -1223.4738  0.4235 
   00072    0.4100   -1228.9622  0.4234 
   00073    0.3200   -1231.0845  0.4218 
   00074    0.3800   -1230.8332  0.4193 
   00075    0.3700   -1227.2838  0.4267 
   00076    0.3900   -1236.7703  0.4361 
   00077    0.3200   -1236.6770  0.4364 
   00078    0.3200   -1233.6233  0.4335 
   00079    0.4000   -1241.8889  0.4405 
   00080    0.3700   -1243.0456  0.4399 
   00081    0.3900   -1246.6971  0.4413 
   00082    0.3600   -1248.6413  0.4449 
   00083    0.4200   -1251.1704  0.4503 
   00084    0.3600   -1259.0508  0.4533 
   00085    0.3800   -1255.6641  0.4520 
   00086    0.4100   -1249.2854  0.4547 
   00087    0.2900   -1256.5214  0.4568 
   00088    0.3900   -1262.0451  0.4563 
   00089    0.3500   -1259.5699  0.4517 
   00090    0.3800   -1255.2729  0.4573 
   00091    0.3000   -1255.3063  0.4567 
   00092    0.2500   -1253.4694  0.4579 
   00093    0.3700   -1259.8134  0.4600 
   00094    0.3700   -1260.4103  0.4647 
   00095    0.2500   -1256.5849  0.4699 
   00096    0.3900   -1256.7960  0.4667 
   00097    0.3800   -1254.8435  0.4608 
   00098    0.3400   -1258.4018  0.4655 
   00099    0.3800   -1269.3838  0.4702 
   00100    0.4000   -1272.7011  0.4748 
   00101    0.3500   -1271.3370  0.4709 
