#=====================================================
# File created:        Mon-06-Nov-2023-at-03-14-42PM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 1.000
# Run time (s):        7.105944
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1581.3097  0.2544 
   00001    0.6800   -2416.0368  0.2584 
   00002    0.6500   -2849.0431  0.2683 
   00003    0.5750   -2991.8111  0.2713 
   00004    0.5750   -3178.2334  0.2648 
   00005    0.5487   -3322.1701  0.2657 
   00006    0.5219   -3329.5329  0.2739 
   00007    0.5481   -3475.0719  0.2761 
   00008    0.5288   -3537.7607  0.2612 
   00009    0.5175   -3647.8172  0.2777 
   00010    0.5025   -3650.3451  0.3018 
   00011    0.5056   -3684.2315  0.2875 
   00012    0.4850   -3627.0792  0.2863 
   00013    0.4994   -3702.0913  0.2971 
   00014    0.5212   -3682.6730  0.3038 
   00015    0.5112   -3761.5809  0.3094 
   00016    0.4956   -3747.8612  0.3099 
   00017    0.4919   -3761.9192  0.3019 
   00018    0.4988   -3768.5331  0.3044 
   00019    0.4931   -3758.9406  0.3100 
   00020    0.4950   -3728.3320  0.3127 
   00021    0.4944   -3699.0148  0.3161 
   00022    0.5156   -3656.0794  0.2972 
   00023    0.4794   -3651.2912  0.3042 
   00024    0.4950   -3641.9439  0.3002 
   00025    0.5094   -3664.1696  0.3022 
   00026    0.5206   -3637.0573  0.3003 
   00027    0.5144   -3670.1496  0.3093 
   00028    0.4838   -3639.5580  0.3057 
   00029    0.5225   -3679.0408  0.3006 
   00030    0.4738   -3795.5643  0.3055 
   00031    0.4731   -3761.7139  0.3187 
   00032    0.4925   -3751.4374  0.3086 
   00033    0.4763   -3789.7858  0.3087 
   00034    0.4963   -3816.7886  0.3240 
   00035    0.4781   -3793.6712  0.3239 
   00036    0.4838   -3777.0648  0.3204 
   00037    0.4919   -3850.3684  0.3313 
   00038    0.4775   -3759.4371  0.3388 
   00039    0.4994   -3702.4125  0.3408 
   00040    0.4988   -3721.1435  0.3453 
   00041    0.4731   -3652.3292  0.3438 
   00042    0.4900   -3716.5241  0.3398 
   00043    0.5000   -3690.1371  0.3432 
   00044    0.4900   -3755.1820  0.3348 
   00045    0.4644   -3834.5670  0.3421 
   00046    0.4844   -3811.4568  0.3256 
   00047    0.5012   -3735.4496  0.3270 
