LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.325, Time: 4.692282 s
         1520114 function calls (1504981 primitive calls) in 5.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      822    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 axis.py:43(Tick)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:281(_make_selector)
        1    0.000    0.000    0.000    0.000 ExifTags.py:304(GPS)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
       60    0.000    0.000    0.000    0.000 inspect.py:2755(replace)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        7    0.000    0.000    0.000    0.000 core.py:5904(__add__)
        9    0.000    0.000    0.000    0.000 pathlib.py:868(__new__)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 gridspec.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:349(__init__)
        7    0.000    0.000    0.000    0.000 core.py:1446(__radd__)
      661    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       47    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
        1    0.000    0.000    0.000    0.000 pathlib.py:192(compile_pattern)
        6    0.000    0.000    0.000    0.000 deprecation.py:242(__set_name__)
       18    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
       23    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
        1    0.000    0.000    0.000    0.000 collections.py:27(Collection)
       77    0.000    0.000    0.000    0.000 enum.py:929(_check_for_existing_members_)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
       51    0.000    0.000    0.000    0.000 linalg.py:135(_makearray)
      609    0.000    0.000    0.000    0.000 _parser.py:168(__setitem__)
     1290    0.000    0.000    0.000    0.000 typing.py:1358(<genexpr>)
      151    0.000    0.000    0.000    0.000 fromnumeric.py:72(<dictcomp>)
       39    0.000    0.000    0.000    0.000 pathlib.py:546(__fspath__)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
      464    0.000    0.000    0.000    0.000 typing.py:1664(__eq__)
      170    0.000    0.000    0.000    0.000 colors.py:771(__copy__)
        1    0.000    0.000    0.000    0.000 ticker.py:2242(LogLocator)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
       36    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
        1    0.000    0.000    0.000    0.000 widgets.py:2533(SpanSelector)
       18    0.000    0.000    0.000    0.000 contextlib.py:260(contextmanager)
        1    0.000    0.000    0.000    0.000 proj3d.py:1(<module>)
       52    0.000    0.000    0.000    0.000 enum.py:975(_find_data_type_)
       65    0.000    0.000    0.000    0.000 results.py:442(__iadd__)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
       43    0.000    0.000    0.000    0.000 core.py:3107(_generateDefaultName)
       49    0.000    0.000    0.000    0.000 pathlib.py:536(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:2(_delvewheel_patch_1_5_1)
      212    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
       23    0.000    0.000    0.000    0.000 core.py:5225(__init__)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      356    0.000    0.000    0.000    0.000 inspect.py:300(ismethod)
        2    0.000    0.000    0.000    0.000 dataclasses.py:588(_repr_fn)
        3    0.000    0.000    0.000    0.000 <frozen os>:1108(add_dll_directory)
      130    0.000    0.000    0.000    0.000 colors.py:967(__init__)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:1341(TextBox)
      116    0.000    0.000    0.000    0.000 _parser.py:446(_uniq)
       50    0.000    0.000    0.000    0.000 enum.py:770(__getattr__)
       20    0.000    0.000    0.000    0.000 colors.py:1189(reversed)
       32    0.000    0.000    0.000    0.000 <frozen _collections_abc>:941(update)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
        1    0.000    0.000    0.000    0.000 geo.py:294(HammerAxes)
      212    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       40    0.000    0.000    0.000    0.000 colors.py:1149(__init__)
       81    0.000    0.000    0.000    0.000 typing.py:921(_is_unpacked_typevartuple)
      102    0.000    0.000    0.000    0.000 linalg.py:153(_realType)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 patches.py:3086(ArrowStyle)
        1    0.000    0.000    0.000    0.000 widgets.py:615(RangeSlider)
        1    0.000    0.000    0.000    0.000 geo.py:246(AitoffAxes)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
      169    0.000    0.000    0.000    0.000 core.py:2422(__new__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:359(LightSource)
       13    0.000    0.000    0.000    0.000 core.py:8384(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
       65    0.000    0.000    0.000    0.000 inspect.py:2065(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:596(Axis)
        3    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
       32    0.000    0.000    0.000    0.000 colors.py:497(<setcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:1019(__init__)
        6    0.000    0.000    0.000    0.000 patches.py:2271(<listcomp>)
      406    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 transforms.py:2106(IdentityTransform)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
        1    0.000    0.000    0.000    0.000 core.py:456(DebugActions)
      448    0.000    0.000    0.000    0.000 colors.py:348(<genexpr>)
       44    0.000    0.000    0.000    0.000 results.py:547(copy)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
     1175    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       48    0.000    0.000    0.000    0.000 typing.py:1568(<genexpr>)
      162    0.000    0.000    0.000    0.000 rcsetup.py:140(validate_bool)
     1876    0.000    0.000    0.000    0.000 __init__.py:860(<lambda>)
     2107    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        3    0.000    0.000    0.000    0.000 pathlib.py:909(home)
       13    0.000    0.000    0.000    0.000 core.py:8389(getdoc)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 rcsetup.py:97(<listcomp>)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
        1    0.000    0.000    0.000    0.000 geo.py:413(LambertAxes)
        1    0.000    0.000    0.000    0.000 helpers.py:1027(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:624(_cmp_fn)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
      318    0.000    0.000    0.000    0.000 __init__.py:794(__iter__)
      195    0.000    0.000    0.000    0.000 inspect.py:1947(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      316    0.000    0.000    0.000    0.000 rcsetup.py:878(_convert_validator_spec)
        1    0.000    0.000    0.000    0.000 core.py:3749(ParseExpression)
        1    0.000    0.000    0.000    0.000 exceptions.py:25(ParseBaseException)
      574    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        6    0.000    0.000    0.000    0.000 patches.py:2264(<listcomp>)
        1    0.000    0.000    0.000    0.000 contour.py:71(ContourLabeler)
        1    0.000    0.000    0.000    0.000 scale.py:201(LogTransform)
       28    0.000    0.000    0.000    0.000 pathlib.py:657(stem)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
      160    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
       28    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
       39    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       77    0.000    0.000    0.000    0.000 _parser.py:309(_class_escape)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6545(__new__)
        1    0.000    0.000    0.000    0.000 cbook.py:539(_get_data_path)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texmanager.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       30    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
       27    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
        1    0.000    0.000    0.000    0.000 LebwohlLasher.py:33(initdat)
        8    0.000    0.000    0.000    0.000 typing.py:2045(__init_subclass__)
        1    0.000    0.000    0.000    0.000 unicode.py:128(pyparsing_unicode)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:106(_delvewheel_patch_1_5_1)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quiver.py:445(Quiver)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       51    0.000    0.000    0.000    0.000 linalg.py:130(get_linalg_error_extobj)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      103    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      791    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x000002A0BB22D9E0}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      891    0.000    0.000    0.000    0.000 inspect.py:3032(parameters)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
        1    0.000    0.000    0.000    0.000 core.py:4535(ParseElementEnhance)
      122    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 patches.py:4054(FancyArrowPatch)
       34    0.000    0.000    0.000    0.000 numeric.py:136(ones)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
      170    0.000    0.000    0.000    0.000 colors.py:677(__init__)
        6    0.000    0.000    0.000    0.000 enum.py:1499(__or__)
      415    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        1    0.000    0.000    0.000    0.000 lines.py:216(Line2D)
        2    0.000    0.000    0.000    0.000 core.py:3886(_setResultsName)
        1    0.000    0.000    0.000    0.000 tokenize.py:392(open)
      694    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 colors.py:1679(_make_norm_from_scale)
        2    0.000    0.000    0.000    0.000 pathlib.py:313(select_from)
       78    0.000    0.000    0.000    0.000 util.py:113(set_)
      711    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 core.py:4968(__init__)
        1    0.000    0.000    0.000    0.000 widgets.py:3809(PolygonSelector)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x000002A0BA21C400}
      147    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
        1    0.000    0.000    0.000    0.000 scale.py:381(InvertedSymmetricalLogTransform)
      281    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       25    0.000    0.000    0.000    0.000 _parser.py:267(getuntil)
        3    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        1    0.000    0.000    0.000    0.000 patches.py:1259(Arrow)
        1    0.000    0.000    0.000    0.000 gridspec.py:26(GridSpecBase)
        2    0.000    0.000    0.000    0.000 {built-in method nt.mkdir}
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:5090(__init__)
        1    0.000    0.000    0.000    0.000 version.py:36(_Version)
        1    0.000    0.000    0.000    0.000 patches.py:2658(ConnectionStyle)
        8    0.000    0.000    0.000    0.000 core.py:4331(_generateDefaultName)
        2    0.000    0.000    0.000    0.000 typing.py:2946(__new__)
      768    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       30    0.000    0.000    0.000    0.000 rcsetup.py:64(<dictcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:78(<dictcomp>)
      153    0.000    0.000    0.000    0.000 linalg.py:140(isComplexType)
       67    0.000    0.000    0.000    0.000 results.py:204(__getitem__)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1595(_array_str_implementation)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
       18    0.000    0.000    0.000    0.000 __init__.py:150(__init__)
       65    0.000    0.000    0.000    0.000 inspect.py:2077(_signature_is_functionlike)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       51    0.000    0.000    0.000    0.000 linalg.py:209(_assert_stacked_square)
       44    0.000    0.000    0.000    0.000 core.py:3986(<genexpr>)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
       81    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 core.py:238(reload_library)
        1    0.000    0.000    0.000    0.000 polar.py:18(PolarTransform)
      297    0.000    0.000    0.000    0.000 typing.py:895(__eq__)
       33    0.000    0.000    0.000    0.000 contextlib.py:287(helper)
       12    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
        1    0.000    0.000    0.000    0.000 patches.py:3807(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 table.py:37(Cell)
      222    0.000    0.000    0.000    0.000 transforms.py:1329(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:5111(__init__)
        1    0.000    0.000    0.000    0.000 widgets.py:3733(LassoSelector)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 table.py:239(Table)
        1    0.000    0.000    0.000    0.000 core.py:5412(Forward)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 results.py:34(ParseResults)
       64    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        1    0.000    0.000    0.000    0.000 image.py:1034(NonUniformImage)
        8    0.000    0.000    0.000    0.000 pathlib.py:765(__truediv__)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
      263    0.000    0.000    0.000    0.000 core.py:3767(<genexpr>)
        1    0.000    0.000    0.000    0.000 transforms.py:211(BboxBase)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ast.py:54(literal_eval)
       21    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
      154    0.000    0.000    0.000    0.000 core.py:790(preParse)
        1    0.000    0.000    0.000    0.000 widgets.py:3051(ToolHandles)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:1949(Cursor)
        1    0.000    0.000    0.000    0.000 core.py:198(update_user_library)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1212(AnnotationBbox)
       51    0.000    0.000    0.000    0.000 colors.py:394(<genexpr>)
       29    0.000    0.000    0.000    0.000 deprecation.py:154(_deprecated_property)
       16    0.000    0.000    0.000    0.000 copyreg.py:113(_slotnames)
      312    0.000    0.000    0.000    0.000 typing.py:1699(__eq__)
        1    0.000    0.000    0.000    0.000 patches.py:2293(BoxStyle)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1671(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 Image.py:136(Transpose)
      826    0.000    0.000    0.000    0.000 inspect.py:2743(default)
        1    0.000    0.000    0.000    0.000 core.py:3018(Regex)
        1    0.000    0.000    0.000    0.000 core.py:4967(_MultipleMatch)
        4    0.000    0.000    0.000    0.000 inspect.py:3064(__hash__)
        1    0.000    0.000    0.000    0.000 win.py:202(tzwin)
       30    0.000    0.000    0.000    0.000 core.py:4332(<genexpr>)
        1    0.000    0.000    0.000    0.000 patches.py:4394(ConnectionPatch)
        3    0.000    0.000    0.000    0.000 pathlib.py:1377(expanduser)
      257    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      183    0.000    0.000    0.000    0.000 typing.py:1694(_value_and_type_iter)
        8    0.000    0.000    0.000    0.000 pathlib.py:530(_make_child)
       13    0.000    0.000    0.000    0.000 typing.py:945(__init__)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:595(get_data_path)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       31    0.000    0.000    0.000    0.000 warnings.py:487(__exit__)
        1    0.000    0.000    0.000    0.000 quiver.py:866(Barbs)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        1    0.000    0.000    0.000    0.000 widgets.py:2940(ToolLineHandles)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:42(CompatibilityFiles)
       11    0.000    0.000    0.000    0.000 rcsetup.py:336(_validate_cmap)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
       96    0.000    0.000    0.000    0.000 rcsetup.py:66(__call__)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
      248    0.000    0.000    0.000    0.000 patches.py:2271(<genexpr>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
      222    0.000    0.000    0.000    0.000 transforms.py:1335(<genexpr>)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
        1    0.000    0.000    0.000    0.000 results.py:17(_ParseResultsWithOffset)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
       45    0.000    0.000    0.000    0.000 typing.py:289(_unpack_args)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
       78    0.000    0.000    0.000    0.000 util.py:110(get)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 glob.py:175(_listdir)
        1    0.000    0.000    0.000    0.000 transforms.py:2338(CompositeGenericTransform)
        9    0.000    0.000    0.000    0.000 typing.py:1851(__init_subclass__)
       33    0.000    0.000    0.000    0.000 results.py:213(__setitem__)
        1    0.000    0.000    0.000    0.000 geo.py:344(MollweideTransform)
      132    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 enum.py:1369(_missing_)
        1    0.000    0.000    0.000    0.000 testing.py:1(<module>)
        6    0.000    0.000    0.000    0.000 deprecation.py:506(suppress_matplotlib_deprecation_warning)
       83    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.000    0.000 abc.py:56(Traversable)
        1    0.000    0.000    0.000    0.000 geo.py:386(InvertedMollweideTransform)
      344    0.000    0.000    0.000    0.000 enum.py:796(<genexpr>)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:1073(Polygon)
        1    0.000    0.000    0.000    0.000 core.py:138(Diagnostics)
      116    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       28    0.000    0.000    0.000    0.000 pathlib.py:877(_make_child_relpath)
        1    0.000    0.000    0.000    0.000 {method 'random_sample' of 'numpy.random.mtrand.RandomState' objects}
      480    0.000    0.000    0.000    0.000 typing.py:736(<genexpr>)
       22    0.000    0.000    0.000    0.000 core.py:1013(reset_cache)
        1    0.000    0.000    0.000    0.000 offsetbox.py:208(OffsetBox)
       19    0.000    0.000    0.000    0.000 path.py:202(_update_values)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1969(<listcomp>)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       57    0.000    0.000    0.000    0.000 typing.py:1818(<genexpr>)
        1    0.000    0.000    0.000    0.000 scale.py:464(AsinhTransform)
      449    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        4    0.000    0.000    0.000    0.000 colors.py:1697(Norm)
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
       29    0.000    0.000    0.000    0.000 cbook.py:1337(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 threading.py:1402(__init__)
        1    0.000    0.000    0.000    0.000 geo.py:249(AitoffTransform)
        1    0.000    0.000    0.000    0.000 spines.py:14(Spine)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
       51    0.000    0.000    0.000    0.000 typing.py:1641(<genexpr>)
        1    0.000    0.000    0.000    0.000 geo.py:297(HammerTransform)
        2    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
        1    0.000    0.000    0.000    0.000 _parser.py:569(__init__)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:27(Patch)
      170    0.000    0.000    0.000    0.000 textwrap.py:479(predicate)
      257    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       40    0.000    0.000    0.000    0.000 pathlib.py:523(_format_parsed_parts)
        1    0.000    0.000    0.000    0.000 text.py:1615(Annotation)
       31    0.000    0.000    0.000    0.000 warnings.py:466(__enter__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _enums.py:27(JoinStyle)
        2    0.000    0.000    0.000    0.000 types.py:67(new_class)
        1    0.000    0.000    0.000    0.000 _parser.py:294(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
        2    0.000    0.000    0.000    0.000 rcsetup.py:441(_validate_papersize)
       29    0.000    0.000    0.000    0.000 pathlib.py:622(name)
        2    0.000    0.000    0.000    0.000 core.py:551(set_results_name)
      222    0.000    0.000    0.000    0.000 patches.py:2264(<genexpr>)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 widgets.py:996(CheckButtons)
        2    0.000    0.000    0.000    0.000 glob.py:141(_iterdir)
        8    0.000    0.000    0.000    0.000 core.py:6028(<genexpr>)
      421    0.000    0.000    0.000    0.000 typing.py:2256(cast)
       28    0.000    0.000    0.000    0.000 rcsetup.py:462(_validate_linestyle)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
       33    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.000    0.000 _enums.py:119(CapStyle)
        3    0.000    0.000    0.000    0.000 six.py:882(wrapper)
        1    0.000    0.000    0.000    0.000 patches.py:1922(Arc)
       11    0.000    0.000    0.000    0.000 __init__.py:64(check_isinstance)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 contextlib.py:77(__call__)
        2    0.000    0.000    0.000    0.000 core.py:6739(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:153(RendererBase)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      105    0.000    0.000    0.000    0.000 _docstring.py:88(do_copy)
        4    0.000    0.000    0.000    0.000 <frozen ntpath>:249(dirname)
       51    0.000    0.000    0.000    0.000 linalg.py:203(_assert_stacked_2d)
       17    0.000    0.000    0.000    0.000 rcsetup.py:273(validate_color_or_auto)
       21    0.000    0.000    0.000    0.000 __init__.py:213(__getattr__)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
        1    0.000    0.000    0.000    0.000 core.py:3922(And)
       31    0.000    0.000    0.000    0.000 __init__.py:228(_acquireLock)
        6    0.000    0.000    0.000    0.000 core.py:6023(<lambda>)
       47    0.000    0.000    0.000    0.000 rcsetup.py:357(validate_fontsize)
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
       70    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        2    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        1    0.000    0.000    0.000    0.000 defmatrix.py:73(matrix)
        5    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        9    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:340(<dictcomp>)
       31    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:264(get_aliased_and_aliases)
      137    0.000    0.000    0.000    0.000 core.py:1745(set_whitespace_chars)
      326    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        1    0.000    0.000    0.000    0.000 _docstring.py:1(<module>)
      156    0.000    0.000    0.000    0.000 core.py:1973(__hash__)
       18    0.000    0.000    0.000    0.000 __init__.py:62(_process_keys)
      172    0.000    0.000    0.000    0.000 <frozen _collections_abc>:835(__iter__)
        1    0.000    0.000    0.000    0.000 laguerre.py:1606(Laguerre)
        1    0.000    0.000    0.000    0.000 testing.py:15(pyparsing_test)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:583(LogitTransform)
        1    0.000    0.000    0.000    0.000 collections.py:2126(QuadMesh)
        1    0.000    0.000    0.000    0.000 geo.py:416(LambertTransform)
        1    0.000    0.000    0.000    0.000 __init__.py:443(__getattr__)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1157(_make_netmask)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
